"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:34    ","00:06:34    ","1","0","5","00:06:35    ","00:06:23    ","00:05:51    ","80","83","94","130","141","31","75"
"2","00:06:01    ","00:06:01    ","1","5","3","00:06:01    ","00:06:01    ","00:05:51    ","80","82","104","140","145","31","76"
"3","00:05:59    ","00:05:59    ","1","0","1","00:06:00    ","00:06:00    ","00:05:51    ","80","81","104","142","145","31","78"
"4","00:20:20    ","00:01:16    ","0.28","3","0","00:04:31    ","00:05:06    ","00:03:05    ","81","94","137","130","152","31","14"
"5","00:04:27    ","00:04:27    ","1.00","1","1","00:04:28    ","00:04:29    ","00:03:55    ","84","89","133","152","161","30","65"
"6","00:01:17    ","00:01:17    ","0.19","0","0","00:06:40    ","00:05:57    ","00:04:34    ","81","84","93","155","161","29","19"
"7","00:04:20    ","00:04:20    ","1","0","0","00:04:21    ","00:04:27    ","00:04:17    ","85","87","135","163","168","30","70"
"8","00:01:18    ","00:01:18    ","0.20","0","0","00:06:29    ","00:05:58    ","00:04:24    ","80","84","96","155","167","30","19"
"9","00:04:19    ","00:04:19    ","1","0","0","00:04:19    ","00:04:25    ","00:04:12    ","84","87","137","164","167","30","69"
"10","00:01:17    ","00:01:17    ","0.20","0","0","00:06:36    ","00:05:58    ","00:04:26    ","79","83","95","157","165","30","20"
"11","00:04:24    ","00:04:24    ","1","0","0","00:04:24    ","00:04:30    ","00:04:23    ","84","85","135","164","169","30","71"
"12","00:03:02    ","00:03:02    ","0.21","0","0","00:14:46    ","00:09:38    ","00:04:27    ","50","84","67","135","169","31","37"
"13","00:04:20    ","00:04:20    ","1","0","0","00:04:21    ","00:04:27    ","00:04:15    ","84","90","137","158","166","30","67"
"14","00:01:29    ","00:01:29    ","0.20","0","0","00:07:23    ","00:06:47    ","00:04:27    ","78","83","86","153","167","30","21"
"15","00:04:23    ","00:04:23    ","1","0","0","00:04:24    ","00:04:32    ","00:04:20    ","85","88","134","161","166","30","69"
"16","00:06:22    ","00:06:22    ","0.57","0","0","00:11:15    ","00:09:07    ","00:04:25    ","59","83","75","130","164","30","72"
"Summary","01:19:59    ","01:00:55    ","10.85","9","10","00:05:37    ","00:05:28    ","00:03:05    ","78","94","113","148","169","30","843"
